,Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Country Code,2016_lifeexp,NHLY,2016_co2,2016_ch4,2016_n2o,2016_pop,2016_extcostratio,2016_llpp_who,PCEC,ERHNI
19,Mexico,Latin America and Caribbean,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,MEX,74.917,13.320242599999997,479250.0,141710.0,42590.0,123333379.0,0.9028196883216235,1.1,8.415000000000001,5.723014922773534
20,Singapore,Southeastern Asia,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,SGP,82.8463414634146,14.4069787804878,46160.0,3940.0,8910.0,5607283.0,3.446298140439968,0.81,6.1965,-6.948007646748463
21,United Kingdom,Western Europe,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.14999,GBR,81.1560975609756,13.99942682926829,378890.0,52050.0,28280.0,65611593.0,1.0430933150209547,0.36000001,2.7540000765,11.126747759903942
22,Chile,Latin America and Caribbean,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,CHL,79.779,13.6023195,86160.0,13000.0,6300.0,18209072.0,0.8487646825652857,1.28,9.792000000000002,5.29121572832072
23,Panama,Latin America and Caribbean,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,PAN,77.964,13.261676399999997,10770.0,5230.0,1300.0,4037073.0,0.8669424421820285,0.34,2.6010000000000004,11.006759107884541
24,Argentina,Latin America and Caribbean,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,ARG,76.221,12.576465000000002,184280.0,115580.0,46380.0,43590368.0,2.605200524022076,0.51999998,3.977999847,2.2129777140358655
25,Czech Republic,Central and Eastern Europe,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,CZE,79.0268292682927,12.612681951219516,102860.0,12440.0,5600.0,10566332.0,1.328534852706147,1.0,7.65,2.4493903280174916
26,United Arab Emirates,Middle East and Northern Africa,6.573,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507,ARE,77.47,12.186031000000003,199460.0,50680.0,6890.0,9360975.0,2.4275549796099076,1.34,10.251000000000001,-12.698835095981163
27,Uruguay,Latin America and Caribbean,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,URY,77.498,11.973441000000001,6530.0,21690.0,7990.0,3424139.0,5.737115691807718,0.23,1.7595000000000003,1.8789859402643199
28,Malta,Western Europe,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,MLT,82.4536585365854,12.26910439024391,1350.0,220.0,50.0,455356.0,0.3151651660003439,0.07,0.5355000000000001,12.100333443850726
