,Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Country Code,2016_lifeexp,NHLY,2016_co2,2016_ch4,2016_n2o,2016_pop,2016_extcostratio,2016_llpp_who,PCEC,ERHNI
109,Sri Lanka,Southern Asia,4.415,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681,LKA,76.482,-4.474196999999999,21930.0,9900.0,2520.0,21203000.0,0.3187307456104382,1.41,10.786499999999998,-7.91218618752699
110,India,Southern Asia,4.404,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,IND,68.897,-4.106261200000001,2183280.0,657690.0,245150.0,1324517250.0,0.4642439207935045,4.9099998,37.561498470000004,-21.543958520592025
111,Myanmar,Southeastern Asia,4.395,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655,MMR,66.205,-4.005402500000003,21890.0,67010.0,20530.0,53045199.0,0.9820602067932512,2.5699999,19.660499235,-23.31319644438266
112,Egypt,Middle East and Northern Africa,4.362,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895,EGY,71.482,-4.560551599999999,233960.0,56310.0,22130.0,94447071.0,0.5857733675364335,1.1900001,9.103500765,-9.893139899484549
113,Armenia,Central and Eastern Europe,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,ARM,74.64,-4.776959999999998,5070.0,2570.0,1620.0,2936147.0,1.277697516101869,1.15,8.7975,-16.01750389790619
114,Kenya,Sub-Saharan Africa,4.356,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326,KEN,65.393,-4.2113092000000005,18770.0,40480.0,18760.0,49051531.0,0.9108992437083052,1.08,8.262,-11.737158751518018
115,Ukraine,Central and Eastern Europe,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,UKR,71.4763414634146,-4.831800682926828,201250.0,64130.0,23920.0,45004673.0,1.331256487311665,1.03,7.879499999999999,-15.321436174699091
116,Ghana,Sub-Saharan Africa,4.276,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002,GHA,63.124,-4.570177600000002,14110.0,20230.0,5900.0,28481947.0,0.5322542236207997,0.82999998,6.349499847,-7.949725711445373
117,Congo (Kinshasa),Sub-Saharan Africa,4.272,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,2.74924,COD,59.655,-4.342883999999999,2060.0,37790.0,16060.0,78789130.0,0.48987638868493394,2.95,22.567500000000003,-15.398169401647248
118,Georgia,Central and Eastern Europe,4.252,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031,GEO,73.207,-5.475883600000001,9650.0,5380.0,2210.0,3727505.0,1.4484556702987805,0.81,6.1965,-14.451239161006395
119,Senegal,Sub-Saharan Africa,4.219,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861,SEN,67.078,-5.238791799999999,9920.0,10640.0,7920.0,14993514.0,1.1985979567642842,0.039999999,0.30599999235,-5.605562765600595
120,Bulgaria,Central and Eastern Europe,4.217,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,BGR,74.8121951219512,-5.857794878048782,41740.0,7090.0,4010.0,7127822.0,1.3445215161233421,1.25,9.5625,-18.71478187597824
121,Mauritania,Sub-Saharan Africa,4.201,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263,MRT,64.208,-5.130219200000003,2810.0,7040.0,3370.0,4163532.0,1.919068197959269,0.0,0.0,-5.130219200000003
122,Zimbabwe,Sub-Saharan Africa,4.193,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427,ZWE,60.294,-4.8657258000000025,10990.0,11380.0,6090.0,14030338.0,1.0185219409383144,0.97000003,7.4205002295,-12.42366809648355
123,Malawi,Sub-Saharan Africa,4.156,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,MWI,62.681,-5.2902764000000015,1360.0,10330.0,3870.0,17205253.0,0.5508956390285162,1.14,8.720999999999998,-10.094637267967691
124,Sudan,Sub-Saharan Africa,4.139,0.63069,0.81928,0.29759,0.0,0.10039,0.18077,2.10995,SDN,64.663,-5.5674842999999985,20480.0,58050.0,29670.0,39847433.0,1.7508225614703115,0.44,3.366,-11.460753041909067
125,Gabon,Sub-Saharan Africa,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,GAB,65.418,-5.750242199999998,5710.0,1130.0,440.0,2007882.0,0.552088031333147,1.84,14.076000000000002,-13.521433329045376
126,Mali,Sub-Saharan Africa,4.073,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087,MLI,57.987,-5.375394899999998,4420.0,22060.0,13730.0,17965448.0,1.7576290754345032,0.07,0.5355000000000001,-6.316605269895175
127,Haiti,Latin America and Caribbean,4.028,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,HTI,62.896,-6.113491200000003,3400.0,4670.0,1600.0,10839976.0,0.3684215389963132,0.28999999,2.2184999235,-6.930834356079076
128,Botswana,Sub-Saharan Africa,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,BWA,68.178,-6.995062799999999,7120.0,3870.0,2430.0,2159925.0,2.6047780635084132,0.87,6.6555,-24.331163201680244
129,Comoros,Sub-Saharan Africa,3.956,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632,COM,63.7,-6.65028,200.0,280.0,50.0,795597.0,0.18130740126441738,0.050000001,0.3825000076500001,-6.719630082370641
130,Cambodia,Southeastern Asia,3.907,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573,KHM,68.977,-7.539186100000001,9900.0,20160.0,4750.0,15766290.0,0.8079712848207365,1.0599999,8.108999234999999,-14.09102463051332
131,Angola,Sub-Saharan Africa,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,AGO,59.925,-6.795495,35410.0,37400.0,18070.0,28842482.0,1.4884333367321823,1.48,11.322000000000001,-23.647537238481767
132,Niger,Sub-Saharan Africa,3.856,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,NER,61.137,-6.994072800000001,1970.0,27620.0,11190.0,20788789.0,1.302502269024658,0.49000001,3.7485000765,-11.876502655080355
133,South Sudan,Sub-Saharan Africa,3.832,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929,SSD,57.12,-6.671616,1730.0,33820.0,22800.0,10832520.0,4.800699652158494,1.02,7.803,-44.13147538579273
134,Chad,Sub-Saharan Africa,3.763,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637,TCD,53.438,-6.610280600000001,1020.0,50260.0,23360.0,14561658.0,3.809114435441339,0.56,4.284000000000001,-22.928526841430703
135,Burkina Faso,Sub-Saharan Africa,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,BFA,60.354,-7.610639400000001,3500.0,15380.0,9830.0,18646350.0,1.2094283847156972,0.30000001,2.2950000765,-10.386277635443797
136,Uganda,Sub-Saharan Africa,3.739,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,UGA,61.986,-7.816434600000001,5670.0,32090.0,15070.0,39649173.0,0.9021508210605821,2.1099999,16.141499235,-22.37850138800401
137,Madagascar,Sub-Saharan Africa,3.695,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075,MDG,65.931,-8.603995500000002,3220.0,17810.0,9170.0,24894370.0,0.8645746944797686,0.43000001,3.2895000765,-11.448014023631165
138,Tanzania,Sub-Saharan Africa,3.666,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,1.37769,TZA,63.844,-8.516789600000001,10920.0,62490.0,30680.0,53049231.0,1.3651091225599197,1.14,8.720999999999998,-20.42190625784506
139,Liberia,Sub-Saharan Africa,3.622,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,LBR,62.802,-8.6541156,1410.0,6070.0,1360.0,4586788.0,0.8022137596388965,0.63999999,4.8959999235,-12.581754105822686
140,Guinea,Sub-Saharan Africa,3.607,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,GIN,60.17,-8.381680999999999,2830.0,17460.0,7210.0,11738434.0,1.4831546438736567,0.56999999,4.3604999235,-14.84897671114975
141,Rwanda,Sub-Saharan Africa,3.515,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,RWA,67.93,-10.087605,1050.0,2820.0,1980.0,11668829.0,0.3861312517976671,2.9000001,22.185000765,-18.65392711652165
142,Benin,Sub-Saharan Africa,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,BEN,60.885,-9.230166,7230.0,5380.0,2670.0,10872072.0,0.5827898972639279,1.1799999,9.026999235,-14.491009956767208
143,Afghanistan,Southern Asia,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,AFG,63.763,-10.457132000000001,7390.0,78150.0,9120.0,35383028.0,0.845526227251857,1.0599999,8.108999234999999,-17.313503529957746
144,Togo,Sub-Saharan Africa,3.303,0.28123,0.0,0.24811,0.34678,0.11587,0.17517,2.1354,TGO,60.22,-10.219334000000002,2300.0,3370.0,1860.0,7509952.0,0.5782463246103027,1.02,7.803,-14.731390070934193
145,Syria,Middle East and Northern Africa,3.069,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789,SYR,70.315,-13.5778265,26460.0,12900.0,3370.0,17465567.0,0.5136253768497215,1.33,10.174500000000002,-18.803707896757494
146,Burundi,Sub-Saharan Africa,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,BDI,60.528,-12.680616,460.0,1860.0,2090.0,10488002.0,0.43811349579425435,2.78,21.267,-21.997975715056405
