,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,Country Code,2017_lifeexp,NHLY,2017_co2,2017_ch4,2017_n2o,2017_pop,2017_extcostratio,2017_llpp_who,PCEC,ERHNI
34,Colombia,6.35699987411499,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.149014472961426,0.0466687418520451,2.61606812477112,COL,76.925,10.438721531629563,76060.0,74540.0,21080.0,48909844.0,1.1123400871202704,0.98000002,7.497000153,2.0995077283008623
35,Saudi Arabia,6.3439998626709,1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126,2.0654296875,SAU,74.874,10.063064571762098,540700.0,43370.0,5690.0,33101183.0,0.6463530467431037,2.0999999,16.064999235,-0.32059662970578096
36,Trinidad and Tobago,6.16800022125244,1.36135590076447,1.3802285194397,0.519983291625977,0.518630743026733,0.325296461582184,0.0089648161083459,2.05324745178223,TTO,73.245,8.555017620563495,18190.0,1270.0,390.0,1384060.0,0.79690615419176,0.0,0.0,8.555017620563495
37,Kuwait,6.10500001907349,1.63295245170593,1.25969874858856,0.632105708122253,0.496337592601776,0.228289797902107,0.215159550309181,1.64042520523071,KWT,75.311,8.32186564364436,89720.0,5970.0,740.0,4056102.0,0.7291812405734629,1.23,9.4095,1.460634760468361
38,Slovakia,6.09800004959106,1.32539355754852,1.50505924224854,0.712732911109924,0.295817464590073,0.136544480919838,0.0242108516395092,2.09777665138245,SVK,77.1658536585366,8.472811114380967,33580.0,4360.0,1900.0,5439232.0,0.8736312011403337,1.1799999,9.026999235,0.5865429300150442
39,Bahrain,6.08699989318848,1.48841226100922,1.32311046123505,0.653133034706116,0.536746919155121,0.172668486833572,0.257042169570923,1.65614938735962,BHR,77.032,8.3733775772095,30380.0,14540.0,70.0,1494077.0,1.5917990106135484,1.63,12.4695,-11.475560185636144
40,Malaysia,6.08400011062622,1.29121541976929,1.28464603424072,0.618784427642822,0.402264982461929,0.416608929634094,0.0656007081270218,2.00444889068604,MYS,75.828,8.2197560388565,222890.0,46460.0,11610.0,31104655.0,1.0263264782756127,0.77999997,5.9669997705,2.0956661785278454
41,Nicaragua,6.07100009918213,0.737299203872681,1.28721570968628,0.653095960617065,0.447551846504211,0.301674216985703,0.130687981843948,2.51393055915833,NIC,74.068,7.9326835346222,5400.0,9510.0,3460.0,6384843.0,1.331571316249239,0.77999997,5.9669997705,-0.0128022038413933
42,Ecuador,6.00799989700317,1.00082039833069,1.28616881370544,0.685636222362518,0.4551981985569,0.150112465023994,0.140134647488594,2.29035258293152,ECU,76.584,7.71966641120908,37760.0,20690.0,4820.0,16785356.0,0.7795333713990721,1.0700001,8.185500764999999,1.3387954032789473
43,El Salvador,6.00299978256226,0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.0782579854130745,0.0899809598922729,2.7145938873291,SLV,72.872,7.309060015487704,6380.0,3980.0,1250.0,6388124.0,0.4973315558407193,1.96,14.994,-0.1479293327880411
44,Poland,5.97300004959106,1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,0.158465966582298,0.0593078061938286,1.79772281646729,POL,77.7536585365854,7.565431361198396,312820.0,47240.0,21550.0,37974826.0,1.399204095152581,1.42,10.862999999999998,-7.634122724444088
45,Italy,5.96400022506714,1.39506661891937,1.44492328166962,0.853144347667694,0.256450712680817,0.17278964817524,0.0280280914157629,1.81331205368042,ITA,82.9463414634147,7.996029183922759,329190.0,44340.0,17960.0,60536709.0,0.7505033114732149,0.94999999,7.267499923499999,2.541746425204673
46,Russia,5.96299982070923,1.28177809715271,1.46928238868713,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522,2.20560741424561,RUS,72.4514634146342,6.97707462784141,1557190.0,850170.0,58660.0,144496739.0,1.7312451188739324,0.68000001,5.202000076499999,-2.028862612981036
47,Belize,5.95599985122681,0.907975316047668,1.08141779899597,0.450191766023636,0.547509372234344,0.240015640854836,0.0965810716152191,2.63195562362671,BLZ,74.365,7.109292893648174,650.0,520.0,230.0,375775.0,1.467411152823315,0.40000001,3.0600000765,2.6190146537518766
