,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Country Code,2018_lifeexp,NHLY,2018_co2,2018_ch4,2018_n2o,2018_pop,2018_extcostratio,2018_llpp_who,PCEC,ERHNI
39,Poland,6.123,1.176,1.448,0.781,0.546,0.108,0.064,POL,77.6024390243903,8.714753902439034,312740.0,47540.0,21480.0,37974750.0,1.4109854179558523,1.37,10.480500000000001,-6.073078770447278
40,Bahrain,6.105,1.338,1.366,0.698,0.594,0.243,0.123,BHR,77.163,8.526511500000003,30750.0,14850.0,90.0,1569440.0,1.5871177972279453,1.49,11.3985,-9.564250711702732
41,Kuwait,6.083,1.474,1.301,0.675,0.554,0.167,0.106,KWT,75.398,8.165603400000002,89460.0,6080.0,750.0,4137314.0,0.7306546001058771,1.36,10.404000000000002,0.563872940498455
42,Thailand,6.072,1.016,1.417,0.707,0.637,0.364,0.029,THA,76.931,8.247003200000002,257860.0,84140.0,19950.0,69428454.0,0.7949399050587392,1.6,12.240000000000002,-1.4830612379189674
43,Italy,6.0,1.264,1.501,0.946,0.281,0.137,0.028,ITA,83.3463414634146,8.334634146341461,324850.0,43670.0,17900.0,60421760.0,0.7556155892346327,0.69999999,5.3549999235,4.288312723794595
44,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12,ECU,76.8,7.472639999999999,39530.0,20350.0,4950.0,17084359.0,0.7875833625117642,1.04,7.9559999999999995,1.2066267678564033
45,Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.089,BLZ,74.496,7.121817600000003,680.0,530.0,210.0,383071.0,1.3497993121119491,0.28999999,2.2184999235,4.127287929339291
46,Lithuania,5.952,1.197,1.527,0.716,0.35,0.026,0.006,LTU,75.6804878048781,7.204782439024395,11590.0,3150.0,3530.0,2801543.0,2.812618361308212,0.76999998,5.890499847,-9.36294558793102
47,Slovenia,5.948,1.219,1.506,0.856,0.633,0.16,0.051,SVN,81.3780487804878,7.714639024390248,14050.0,1980.0,790.0,2073894.0,0.9742422119517516,0.94,7.191,0.708863278245202
48,Romania,5.945,1.116,1.219,0.726,0.528,0.088,0.001,ROU,75.3585365853659,7.121381707317079,74880.0,23780.0,8640.0,19473970.0,1.1229226420616485,1.08,8.262,-2.1562051613962616
49,Latvia,5.933,1.148,1.454,0.671,0.363,0.092,0.066,LVA,74.7829268292683,6.977247073170733,7630.0,1940.0,1860.0,1927174.0,2.1802380229407046,0.91000003,6.9615002294999995,-8.200480423895605
50,Japan,5.915,1.294,1.462,0.988,0.553,0.079,0.15,JPN,84.2109756097561,7.705304268292685,1106150.0,21110.0,18010.0,126811000.0,0.378141352241324,0.57999998,4.436999847,6.027491146253557
51,Mauritius,5.891,1.09,1.387,0.684,0.584,0.245,0.05,MUS,74.4163414634146,6.630496024390242,4130.0,1930.0,230.0,1265303.0,0.6161399024353608,0.0,0.0,6.630496024390242
52,Jamaica,5.89,0.819,1.493,0.693,0.575,0.096,0.031,JAM,74.368,6.618751999999997,8510.0,780.0,410.0,2934853.0,0.3481723896194075,0.54000002,4.1310001530000005,5.180451805211849
53,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051,KOR,82.6268292682927,7.229847560975611,630870.0,25530.0,10770.0,51585058.0,0.5872242952542551,1.52,11.628,0.40160345575913237
54,Russia,5.81,1.151,1.479,0.599,0.399,0.065,0.025,RUS,72.6621951219512,5.885637804878044,1607550.0,849570.0,58610.0,144477859.0,1.7504740797771678,0.57999998,4.436999847,-1.8812154192707151
55,Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.148,0.121,KAZ,73.15,5.778850000000001,220450.0,41360.0,10980.0,18276452.0,1.6526916356531702,0.82999998,6.349499847,-4.714915287717983
56,Cyprus,5.762,1.229,1.191,0.909,0.423,0.202,0.035,CYP,80.828,6.159093599999997,7230.0,740.0,370.0,1189262.0,0.7771342629558318,0.54000002,4.1310001530000005,2.948751840827913
57,Bolivia,5.752,0.751,1.223,0.508,0.606,0.141,0.054,BOL,71.239,5.3571728,22710.0,25050.0,8770.0,11353140.0,1.9349063632849952,1.9299999,14.764499235000002,-23.210750720517947
58,Estonia,5.739,1.2,1.532,0.737,0.553,0.086,0.174,EST,78.2439024390244,5.782224390243902,16000.0,1050.0,1350.0,1321977.0,2.321828374864183,0.19,1.4535,2.4074468473788126
59,Paraguay,5.681,0.835,1.522,0.615,0.541,0.162,0.074,PRY,74.131,5.048321100000001,8420.0,29070.0,10070.0,6956069.0,3.615279626270229,0.63,4.8195,-12.375519058809369
60,Peru,5.663,0.934,1.249,0.674,0.53,0.092,0.034,PER,76.516,5.073010800000002,54280.0,31410.0,9360.0,31989265.0,0.7598512277825824,1.864940098,14.266791749699998,-5.767628427527958
61,Moldova,5.64,0.657,1.301,0.62,0.232,0.171,0.0,MDA,71.808,4.595711999999999,8590.0,3310.0,1160.0,2708214.0,1.0865738135457153,0.89999998,6.8849998470000005,-2.885348540016458
62,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037,TKM,68.073,4.329442800000001,71730.0,49580.0,3430.0,5850902.0,2.500596645310442,0.38999999,2.9834999234999997,-3.1310870999880587
63,Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022,HUN,76.0658536585366,4.71608292682927,46390.0,7120.0,5790.0,9775564.0,1.3691582786902083,1.04,7.9559999999999995,-6.176940338430026
64,Libya,5.566,0.985,1.35,0.553,0.496,0.116,0.148,LBY,72.724,4.116178399999999,58940.0,37790.0,1970.0,6678565.0,1.4729740850392703,0.12,0.9179999999999999,2.763988189933949
65,Philippines,5.524,0.775,1.312,0.513,0.643,0.12,0.105,PHL,71.095,3.725378,142240.0,67660.0,13640.0,106651394.0,0.36508180653917427,0.94,7.191,1.1000747291767978
66,Honduras,5.504,0.62,1.205,0.622,0.459,0.197,0.074,HND,75.088,3.784435199999997,9770.0,8150.0,3210.0,9587523.0,0.8246581498922446,1.48,11.322000000000001,-5.552344373079997
67,Belarus,5.483,1.039,1.498,0.7,0.307,0.101,0.154,BLR,74.1756097560976,3.5826819512195116,59310.0,16730.0,12010.0,9438785.0,2.9443723462570626,0.85000002,6.502500153000001,-15.56309968080601
68,Turkey,5.483,1.148,1.38,0.686,0.324,0.106,0.109,TUR,77.437,3.7402070999999975,412970.0,47400.0,34380.0,82340090.0,0.9851985613009923,1.58,12.087000000000002,-8.167887910445097
69,Pakistan,5.472,0.652,0.81,0.424,0.334,0.216,0.113,PAK,67.114,3.167780800000003,208370.0,151020.0,60950.0,212228288.0,0.7056124995120479,3.3199999,25.397999235000004,-14.753364922813429
70,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017,PRT,81.3243902439024,3.3343,49780.0,11320.0,3090.0,10283822.0,0.8141791508700725,0.050000001,0.3825000076500001,3.0228764685637266
71,Serbia,5.398,0.975,1.369,0.685,0.288,0.134,0.043,SRB,75.890243902439,3.02043170731707,45540.0,12400.0,4120.0,6982604.0,1.5242899129708085,1.58,12.087000000000002,-15.403660470761096
72,Greece,5.358,1.154,1.202,0.879,0.131,0.0,0.044,GRC,81.7878048780488,2.9280034146341443,65290.0,9670.0,4450.0,10732882.0,1.0322137114305348,0.57999998,4.436999847,-1.6519286650544407
73,Lebanon,5.358,0.965,1.179,0.785,0.503,0.214,0.136,LBN,78.875,2.823724999999997,27710.0,3250.0,740.0,6859408.0,0.3188916813376954,1.05,8.0325,0.2622275696549585
74,Montenegro,5.347,1.017,1.279,0.729,0.259,0.111,0.081,MNE,76.8414634146342,2.6663987804878104,2520.0,820.0,180.0,622227.0,0.8161947458044062,1.13,8.644499999999999,-4.389196699618378
75,Croatia,5.321,1.115,1.161,0.737,0.38,0.12,0.039,HRV,78.0707317073171,2.5060704878048767,16580.0,3820.0,1790.0,4087843.0,1.0718133937550545,1.1,8.415000000000001,-6.513239220643907
76,Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.12,0.106,DOM,73.892,2.231538399999997,25120.0,9200.0,3390.0,10627147.0,0.8029451616595389,0.22,1.683,0.8801816929269932
77,Algeria,5.295,0.979,1.154,0.687,0.077,0.055,0.135,DZA,76.693,2.2624434999999994,151670.0,49550.0,12110.0,42228415.0,0.7874864595103258,0.079999998,0.6119999847,1.7805017988282228
78,Morocco,5.254,0.779,0.797,0.669,0.46,0.026,0.074,MAR,76.453,1.941906199999997,66680.0,17670.0,9430.0,36029089.0,0.6271730073818348,0.28,2.1420000000000003,0.5985016181881067
