,Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Country Code,2016_lifeexp,NHLY,2016_co2,2016_ch4,2016_n2o,2016_pop,2016_extcostratio,2016_llpp_who,PCEC,ERHNI,Year
40,Trinidad and Tobago,Latin America and Caribbean,6.168,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.51394,TTO,73.1,8.53808,18230,1260,390,1377563,0.803488872,0,0,8.53808,2016
41,Venezuela,Latin America and Caribbean,6.084,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468,VEN,72.405,7.848702,162060,73640,13190,29851249,1.298159299,0.88,6.732,-0.890506401,2016
42,Slovakia,Central and Eastern Europe,6.078,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,SVK,77.16585366,8.318479024,31500,4380,2010,5430798,0.918903555,1.08,8.262,0.726497853,2016
43,El Salvador,Latin America and Caribbean,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,SLV,72.644,7.7583792,7170,4030,1220,6356137,0.494267253,1.89,14.4585,0.612016118,2016
44,Malaysia,Southeastern Asia,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384,MYS,75.649,7.6027245,228640,46250,11790,30684652,1.057563555,0.91000003,6.961500229,0.24049557,2016
45,Nicaragua,Latin America and Caribbean,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428,NIC,73.86,7.326912,5380,9680,3460,6303970,1.358564806,0.70999998,5.431499847,-0.052132535,2016
46,Italy,Western Europe,5.977,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918,ITA,83.24390244,8.132929268,333340,44680,18060,60627498,0.757457426,0.76999998,5.890499847,3.671126414,2016
47,Ecuador,Latin America and Caribbean,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,ECU,76.365,7.453224,39010,20510,4770,16491116,0.789750231,1.13,8.6445,0.626228125,2016
48,Belize,Latin America and Caribbean,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039,BLZ,74.219,7.0953364,650,500,240,368399,1.55223975,0.31,2.3715,3.414199832,2016
49,Japan,Eastern Asia,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,JPN,83.98487805,7.735007268,1171390,21440,18110,127076000,0.380606365,0.60000002,4.590000153,5.988023996,2016
