,Unnamed: 0,Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Country Code,2016_lifeexp,NHLY,2016_co2,2016_ch4,2016_n2o,2016_pop,2016_extcostratio,2016_llpp_who,PCEC,ERHNI,Year,Unnamed: 0,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,Country Code,2017_lifeexp,NHLY,2017_co2,2017_ch4,2017_n2o,2017_pop,2017_extcostratio,2017_llpp_who,PCEC,ERHNI,Year,Unnamed: 0,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Country Code,2018_lifeexp,NHLY,2018_co2,2018_ch4,2018_n2o,2018_pop,2018_extcostratio,2018_llpp_who,PCEC,ERHNI,Year
11,11,Austria,Western Europe,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,AUT,81.6414634146342,17.299826097560985,63390.0,6800.0,3700.0,8736668.0,1.0353094467265995,0.63999999,4.8959999235,12.230951125588724,2016,11,Costa Rica,7.0789999961853,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.214613229036331,0.100106589496136,2.89863920211792,CRI,79.914,16.614120569515208,8180.0,4870.0,1920.0,4949955.0,0.9485723369612304,0.67000002,5.125500153,11.752212911288854,2017,11.0,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224,AUT,81.6926829268293,17.474064878048793,63180.0,6660.0,3620.0,8840521.0,1.0078185371483803,0.73000002,6.316935566354065e-07,17.47406424141632,2018
12,12,United States,North America,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,USA,78.5390243902439,16.52461073170732,4888640.0,609200.0,248510.0,323071755.0,1.9597453965511369,0.18000001,1.3770000765,13.82604117073588,2016,12,Austria,7.00600004196167,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2.1385064125061,AUT,81.6439024390244,16.377767171859745,65830.0,6740.0,3630.0,8797566.0,1.0079580272664177,0.68000001,5.202000076499999,11.13436943691105,2017,12.0,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101,CRI,80.095,16.595684000000002,8260.0,4820.0,1940.0,4999443.0,0.9559613660804256,0.49000001,7.497835411864882e-07,16.595683283235903,2018
13,13,Costa Rica,Latin America and Caribbean,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,CRI,79.738,16.6413206,8080.0,4810.0,1960.0,4899336.0,0.9778029645358848,0.63,4.8195,11.928799212419303,2016,13,United States,6.99300003051758,1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,0.392578780651093,0.135638788342476,2.2181134223938,USA,78.5390243902439,15.652827800657704,4813720.0,614500.0,249290.0,325122128.0,1.9442443343833071,0.2,1.5300000000000002,12.678133969051244,2017,13.0,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306,IRL,82.2048780487805,16.251904390243908,37110.0,16820.0,10060.0,4867316.0,4.846752335573092,0.02,3.1434162072074226e-08,16.251904237890308,2018
14,14,Germany,Western Europe,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,DEU,80.990243902439,16.149454634146338,747150.0,55520.0,35600.0,82348669.0,1.0510883537972746,0.55000001,4.2075000765,11.727000305136045,2016,14,Ireland,6.97700023651123,1.53570663928986,1.55823111534119,0.80978262424469,0.573110342025757,0.42785832285881,0.29838815331459,1.77386903762817,IRL,82.1560975609756,16.24226243088884,37530.0,16770.0,9760.0,4807388.0,4.727178951682226,0.0,0.0,16.24226243088884,2017,14.0,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28,DEU,80.8926829268293,15.895412195121956,709540.0,53370.0,32900.0,82905782.0,0.9754871737093296,0.56999999,5.2595848182217256e-08,15.89541214381538,2018
15,15,Brazil,Latin America and Caribbean,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,BRA,75.23,14.684896000000002,441910.0,424800.0,176350.0,206163056.0,2.0760513679708392,0.55000001,4.2075000765,5.949909710444768,2016,15,Germany,6.95100021362305,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.336269170045853,0.276731938123703,2.01576995849609,DEU,80.9926829268293,15.801674169214795,732200.0,54780.0,34580.0,82657002.0,1.014507546059813,0.55000001,4.2075000765,11.533133591558308,2017,15.0,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24,BEL,81.5951219512195,15.723379999999995,93470.0,8200.0,4460.0,11427054.0,0.9697498943983413,0.56999999,3.81594409503972e-07,15.723379629948855,2018
16,16,Belgium,Western Europe,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,BEL,81.4390243902439,15.709587804878051,94320.0,8450.0,4490.0,11331422.0,0.981386323043109,0.56,4.284000000000001,11.505328796961372,2016,16,Belgium,6.89099979400635,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,0.231503337621689,0.251343131065369,2.12421035766602,BEL,81.4926829268293,15.410264662765906,92770.0,8180.0,4440.0,11375158.0,0.9598873553250122,0.50999999,3.9014999235,11.665264219396754,2017,16.0,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196,0.321,LUX,82.2951219512195,15.718368292682928,9320.0,540.0,300.0,607950.0,1.2569136869664128,0.46000001,5.788305085122132e-06,15.71836101728304,2018
17,17,Ireland,Western Europe,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,IRL,81.6536585365854,15.571352682926836,38710.0,16490.0,9420.0,4755335.0,4.645942777777748,0.02,0.153,14.86052343792684,2016,17,Luxembourg,6.86299991607666,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,1.61951208114624,LUX,82.0951219512195,15.294320530542512,9000.0,550.0,310.0,596336.0,1.3015956107088316,0.44999999,3.4424999235,10.813577740249425,2017,17.0,United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133,USA,78.6390243902439,14.831320000000002,4981300.0,622590.0,250060.0,326838199.0,1.9659566544543712,0.20999999,4.915275902312752e-09,14.831319990336782,2018
18,18,Luxembourg,Western Europe,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,LUX,82.6853658536585,15.470431951219508,8860.0,550.0,300.0,582014.0,1.3024922519802613,0.5,3.825,10.488399087395008,2016,18,United Kingdom,6.71400022506714,1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,1.70414352416992,GBR,81.2560975609756,13.927296950758963,366380.0,51630.0,28280.0,66058859.0,1.029181836594938,0.31999999,2.4479999235,11.407859893506966,2017,18.0,Israel,6.814,1.301,1.559,0.883,0.533,0.354,0.272,ISR,82.8024390243903,15.0203624390244,61970.0,12070.0,2360.0,8882800.0,0.7924631126708478,0.67000002,5.770140218174449e-07,15.020361981762072,2018
19,19,Mexico,Latin America and Caribbean,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,MEX,74.917,13.320242599999997,479250.0,141710.0,42590.0,123333379.0,0.9028196883216236,1.1,8.415000000000001,5.723014922773534,2016,19,Chile,6.65199995040894,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.326662421226501,0.0822879821062088,2.50958585739136,CHL,79.909,13.2009664037228,87040.0,13110.0,6320.0,18470435.0,0.8363407888717853,1.17,8.9505,5.715298172925886,2017,19.0,United Arab Emirates,6.774,2.096,0.776,0.67,0.284,0.186,,ARE,77.814,13.8042036,200300.0,52960.0,7140.0,9630966.0,2.4612791957383857,1.29,1.024663569573395e-06,13.804201078016872,2018
20,20,Singapore,Southeastern Asia,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,SGP,82.8463414634146,14.4069787804878,46160.0,3940.0,8910.0,5607283.0,3.446298140439968,0.81,6.1965,-6.948007646748463,2016,20,United Arab Emirates,6.64799976348877,1.62634336948395,1.26641023159027,0.726798236370087,0.60834527015686,0.3609419465065,0.324489563703537,1.734703540802,ARE,77.647,12.796223763561258,208250.0,51830.0,7020.0,9487206.0,2.4357561437165405,1.28,9.792000000000002,-11.054700395711109,2017,20.0,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064,0.034,CZE,79.0292682926829,13.521907804878047,102480.0,12430.0,5170.0,10629928.0,1.2435557048341426,1.03,7.4125619665533e-07,13.521906883084675,2018
